gadm_name,year,dengue_total,n_months,source
Kiên Giang,2005,2522,12,OpenDengue
Kiên Giang,2006,4142,12,OpenDengue
Kiên Giang,2007,5814,12,OpenDengue
Kiên Giang,2008,2913,12,OpenDengue
Kiên Giang,2009,5395,12,OpenDengue
Kiên Giang,2010,5943,12,OpenDengue
Kiên Giang,2011,1662,12,GDPM
Kiên Giang,2012,3533,12,GDPM
Kiên Giang,2013,933,12,GDPM
Kiên Giang,2014,469,12,GDPM
Kiên Giang,2015,666,12,GDPM
Kiên Giang,2016,990,12,GDPM
Kiên Giang,2017,1426,12,GDPM
Kon Tum,1994,0,11,OpenDengue
Kon Tum,1995,2187,12,OpenDengue
Kon Tum,1996,0,12,OpenDengue
Kon Tum,1997,63,12,OpenDengue
Kon Tum,1998,1660,12,OpenDengue
Kon Tum,1999,164,12,OpenDengue
Kon Tum,2000,8,12,OpenDengue
Kon Tum,2001,153,12,OpenDengue
Kon Tum,2002,1,12,OpenDengue
Kon Tum,2003,68,12,OpenDengue
Kon Tum,2004,76,12,OpenDengue
