gadm_name,year,observed,population,expected,sir_raw,province_id,time_id
Tây Ninh,1999,406,963000,463.05177360109394,0.8767918041703854,54,6
Tây Ninh,2000,615,972927,326.121643003388,1.885799403977647,54,7
Tây Ninh,2001,681,982956,541.8991397991124,1.2566914209394275,54,8
Tây Ninh,2002,371,993088,407.3294336908915,0.9108106837217644,54,9
Tây Ninh,2003,572,1003325,640.3718897257526,0.89323096340935,54,10
Tây Ninh,2004,3762,1013667,990.7533423796095,3.7971105814938353,54,11
Tây Ninh,2005,727,1024116,717.3510963868043,1.0134507407346218,54,12
Tây Ninh,2006,494,1034673,862.693477626685,0.5726251708301074,54,13
Tây Ninh,2007,752,1045338,1307.9145296784625,0.5749611178223332,54,14
Tây Ninh,2008,1160,1056114,1203.1618146299595,0.9641263426871354,54,15
Tây Ninh,2009,817,1067000,1310.248345142644,0.6235459125201603,54,16
Tây Ninh,2010,995,1077999,1594.8122711345834,0.6238978831609665,54,17
Thái Bình,1994,410,1788505,1195.269096651008,0.3430189914127018,48,1
Thái Bình,1995,1,1788004,2198.455106549744,4.5486487170957077e-4,48,2
Thái Bình,1996,458,1787503,2434.5255400229466,0.18812700564056647,48,3
Thái Bình,1997,0,1787002,2620.4270189733006,0,48,4
Thái Bình,1998,116,1786501,5684.359473912931,0.020406872670941288,48,5
Thái Bình,1999,0,1786000,858.7855323484463,0,48,6
Thái Bình,2000,0,1785499,598.4928647893482,0,48,7
Thái Bình,2001,4,1784999,984.0617714753009,0.004064785479882242,48,8
Thái Bình,2002,8,1784499,731.9381234009093,0.010929885661411447,48,9
Thái Bình,2003,4,1783998,1138.6362051448564,0.003512974540881671,48,10
Thái Bình,2004,61,1783498,1743.1825290034585,0.03499346682580191,48,11
Thái Bình,2005,0,1782998,1248.9166951355896,0,48,12
Thái Bình,2006,15,1782499,1486.2186035356951,0.010092727923278037,48,13
Thái Bình,2007,31,1781999,2229.6160514326375,0.013903739157278215,48,14
Thái Bình,2008,8,1781499,2029.545645263161,0.003941768946498702,48,15
Thái Bình,2009,136,1781000,2187.0218394555286,0.062185021450841094,48,16
Thái Bình,2010,84,1780501,2634.1071221470493,0.03188936368371077,48,17
Thái Nguyên,1994,1,1010501,675.3241491832231,0.0014807703844286616,49,1
Thái Nguyên,1995,4,1017698,1251.3189931484837,0.0031966269367777055,49,2
Thái Nguyên,1996,1,1024946,1395.945748983,7.163602172423522e-4,49,3
Thái Nguyên,1997,0,1032245,1513.6651711638233,0,49,4
Thái Nguyên,1998,4,1039596,3307.8276315781454,0.0012092528527829073,49,5
